"ASV","Module_Color"
"16S_ASV_243","turquoise"
"16S_ASV_246","turquoise"
"16S_ASV_253","turquoise"
"16S_ASV_258","turquoise"
"16S_ASV_260","turquoise"
"16S_ASV_262","turquoise"
"16S_ASV_264","turquoise"
"16S_ASV_265","turquoise"
"16S_ASV_274","turquoise"
"16S_ASV_279","turquoise"
"16S_ASV_283","turquoise"
"16S_ASV_285","turquoise"
"16S_ASV_286","turquoise"
"16S_ASV_289","turquoise"
"16S_ASV_291","turquoise"
"16S_ASV_296","turquoise"
"16S_ASV_297","turquoise"
"16S_ASV_298","turquoise"
"16S_ASV_302","turquoise"
"16S_ASV_303","turquoise"
"16S_ASV_307","turquoise"
"16S_ASV_310","turquoise"
"16S_ASV_311","turquoise"
"16S_ASV_326","turquoise"
"16S_ASV_336","turquoise"
"16S_ASV_338","turquoise"
"16S_ASV_340","turquoise"
"16S_ASV_347","turquoise"
"16S_ASV_349","turquoise"
"16S_ASV_351","turquoise"
"16S_ASV_354","turquoise"
"16S_ASV_357","turquoise"
"16S_ASV_361","turquoise"
"16S_ASV_362","turquoise"
"16S_ASV_366","turquoise"
"16S_ASV_382","turquoise"
"16S_ASV_389","turquoise"
"16S_ASV_391","turquoise"
"16S_ASV_396","turquoise"
"16S_ASV_403","turquoise"
"16S_ASV_410","turquoise"
"16S_ASV_421","turquoise"
"16S_ASV_422","turquoise"
"16S_ASV_428","turquoise"
"16S_ASV_432","turquoise"
"16S_ASV_433","turquoise"
"16S_ASV_451","turquoise"
"16S_ASV_465","turquoise"
"16S_ASV_472","turquoise"
"16S_ASV_518","turquoise"
"16S_ASV_524","turquoise"
"16S_ASV_531","turquoise"
"16S_ASV_535","turquoise"
"16S_ASV_538","turquoise"
"16S_ASV_555","turquoise"
"16S_ASV_567","turquoise"
"16S_ASV_573","turquoise"
"16S_ASV_643","turquoise"
"16S_ASV_701","turquoise"
"16S_ASV_771","turquoise"
"16S_ASV_820","turquoise"
"16S_ASV_1113","turquoise"
"16S_ASV_1196","turquoise"
"18S_ASV_24","turquoise"
"18S_ASV_48","turquoise"
"18S_ASV_92","turquoise"
"18S_ASV_136","turquoise"
"18S_ASV_161","turquoise"
"18S_ASV_186","turquoise"
"18S_ASV_273","turquoise"
"18S_ASV_292","turquoise"
"18S_ASV_383","turquoise"
"18S_ASV_447","turquoise"
"18S_ASV_511","turquoise"
"18S_ASV_574","turquoise"
"18S_ASV_576","turquoise"
"18S_ASV_806","turquoise"
"18S_ASV_1071","turquoise"
"18S_ASV_2019","turquoise"
"16S_ASV_2","yellow"
"16S_ASV_3","yellow"
"16S_ASV_9","yellow"
"16S_ASV_13","yellow"
"16S_ASV_15","yellow"
"16S_ASV_17","yellow"
"16S_ASV_19","yellow"
"16S_ASV_20","yellow"
"16S_ASV_23","yellow"
"16S_ASV_25","yellow"
"16S_ASV_26","yellow"
"16S_ASV_29","yellow"
"16S_ASV_33","yellow"
"16S_ASV_34","yellow"
"16S_ASV_35","yellow"
"16S_ASV_40","yellow"
"16S_ASV_42","yellow"
"16S_ASV_43","yellow"
"16S_ASV_55","yellow"
"16S_ASV_57","yellow"
"16S_ASV_59","yellow"
"16S_ASV_60","yellow"
"16S_ASV_63","yellow"
"16S_ASV_70","yellow"
"16S_ASV_73","yellow"
"16S_ASV_76","yellow"
"16S_ASV_82","yellow"
"16S_ASV_83","yellow"
"16S_ASV_86","yellow"
"16S_ASV_92","yellow"
"16S_ASV_96","yellow"
"16S_ASV_99","yellow"
"16S_ASV_100","yellow"
"16S_ASV_102","yellow"
"16S_ASV_111","yellow"
"16S_ASV_114","yellow"
"16S_ASV_119","yellow"
"16S_ASV_127","yellow"
"16S_ASV_129","yellow"
"16S_ASV_136","yellow"
"16S_ASV_138","yellow"
"16S_ASV_151","yellow"
"16S_ASV_160","yellow"
"16S_ASV_171","yellow"
"16S_ASV_184","yellow"
"16S_ASV_188","yellow"
"16S_ASV_189","yellow"
"16S_ASV_202","yellow"
"16S_ASV_204","yellow"
"16S_ASV_206","yellow"
"16S_ASV_216","yellow"
"16S_ASV_217","yellow"
"16S_ASV_226","yellow"
"16S_ASV_230","yellow"
"16S_ASV_241","yellow"
"16S_ASV_249","yellow"
"16S_ASV_255","yellow"
"16S_ASV_263","yellow"
"16S_ASV_288","yellow"
"16S_ASV_321","yellow"
"16S_ASV_324","yellow"
"16S_ASV_325","yellow"
"16S_ASV_384","yellow"
"16S_ASV_397","yellow"
"16S_ASV_419","yellow"
"16S_ASV_491","yellow"
"16S_ASV_508","yellow"
"16S_ASV_658","yellow"
"16S_ASV_684","yellow"
"16S_ASV_690","yellow"
"16S_ASV_705","yellow"
"16S_ASV_732","yellow"
"16S_ASV_823","yellow"
"16S_ASV_867","yellow"
"16S_ASV_900","yellow"
"16S_ASV_920","yellow"
"16S_ASV_922","yellow"
"16S_ASV_1028","yellow"
"16S_ASV_1200","yellow"
"16S_ASV_1258","yellow"
"16S_ASV_1306","yellow"
"16S_ASV_1463","yellow"
"16S_ASV_1541","yellow"
"16S_ASV_1550","yellow"
"16S_ASV_1641","yellow"
"16S_ASV_1726","yellow"
"16S_ASV_1743","yellow"
"16S_ASV_2408","yellow"
"16S_ASV_3009","yellow"
"18S_ASV_4","yellow"
"18S_ASV_408","yellow"
"18S_ASV_448","yellow"
"18S_ASV_485","yellow"
"18S_ASV_672","yellow"
"18S_ASV_716","yellow"
